name,artists,album,uri,id,duration_ms
മിന്നി മറഞ്ഞു,"SA, AZWIN, Efy Music",GATE,spotify:track:4A1T3FWBYEi5XQ8eLv9rFs,4A1T3FWBYEi5XQ8eLv9rFs,
"Thani Lokah Murakkaari (From ""Lokah - Chapter 1: Chandra"")","Jakes Bejoy, Jyoti Nooran, Reble, Mu.Ri","Thani Lokah Murakkaari (From ""Lokah - Chapter 1: Chandra"")",spotify:track:7gX2JJVKndYEVApM5GRtqZ,7gX2JJVKndYEVApM5GRtqZ,
Khalasi | Coke Studio Bharat,"Aditya Gadhvi, Achint",Khalasi | Coke Studio Bharat,spotify:track:5LSAafg2oH9YPgf3EG17iw,5LSAafg2oH9YPgf3EG17iw,
Kiliye Kiliye - Afrobeat Mix,"The Independeners, S. Janaki, Ilaiyaraaja",Kiliye Kiliye - Afrobeat Mix,spotify:track:6Or4iU4UNhDftBYfRXh7xr,6Or4iU4UNhDftBYfRXh7xr,
"Kanmanipoove (From ""Thudarum"")","Jakes Bejoy, M. G. Sreekumar, B.K. Harinarayanan","Kanmanipoove (From ""Thudarum"")",spotify:track:3AAJmTVOJS55CpYFiCnXVh,3AAJmTVOJS55CpYFiCnXVh,
Confusion,"Vidyasagar, M. G. Sreekumar",Summer In Bathlehem (Original Motion Picture Soundtrack),spotify:track:1EUf2qYvzcfFw4aV6EhNwx,1EUf2qYvzcfFw4aV6EhNwx,
"Deva Deva (From ""Brahmastra"")","Pritam, Arijit Singh, Amitabh Bhattacharya, Jonita Gandhi","Deva Deva (From ""Brahmastra"")",spotify:track:0IGXY47K2ha3AHfX57wY1O,0IGXY47K2ha3AHfX57wY1O,
"Hope Song - From ""Sarkeet""","Govind Vasantha, Kapil Kapilan, Anwar Ali","Hope Song (From ""Sarkeet"")",spotify:track:3y7140pwsQ8wmxGj2hQhLG,3y7140pwsQ8wmxGj2hQhLG,
"Minnalvala (From ""Narivetta"")","Jakes Bejoy, Sid Sriram, Sithara Krishnakumar","Minnalvala (From ""Narivetta"")",spotify:track:5yAfCVJwa3r9wAQSOfawqm,5yAfCVJwa3r9wAQSOfawqm,
"Vaada Veda (From ""Narivetta"")","Jakes Bejoy, Vedan","Vaada Veda (From ""Narivetta"")",spotify:track:71rsifxqhk2Gd2AsfqAwDX,71rsifxqhk2Gd2AsfqAwDX,
Munthirichar,"M.H.R, JOKER390P",Munthirichar,spotify:track:0133cEuPQ9SQcqHqjgFtbS,0133cEuPQ9SQcqHqjgFtbS,
"Sambrani Penthiri (From ""Vyasana Sametham Bandhu Mithradhikal"")","Ankit Menon, Adheef Muhamed, Vinayak Sasikumar","Sambrani Penthiri (From ""Vyasana Sametham Bandhu Mithradhikal"")",spotify:track:3BsfEFFYuKfZ7lH48Dm9kG,3BsfEFFYuKfZ7lH48Dm9kG,
"Onam Mood (From ""Sahasam"")","Bibin Ashok, Fejo, Himna Hilari, Hinitha Hilary, Vinayak Sasikumar","Onam Mood (From ""Sahasam"")",spotify:track:3ayM2UERJjqknotVSPgJ0S,3ayM2UERJjqknotVSPgJ0S,
